"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","scientificName","kingdom","phylum","order","family","genus","genericName","specificEpithet","taxonRank","dateIdentified","coordinateUncertaintyInMeters","year","month","day","eventDate","modified","lastInterpreted","references","license","geodeticDatum","class","countryCode","country","rightsHolder","identifier","informationWithheld","verbatimEventDate","datasetName","verbatimLocality","gbifID","collectionCode","occurrenceID","taxonID","catalogNumber","recordedBy","http://unknown.org/occurrenceDetails","institutionCode","rights","eventTime","occurrenceRemarks","http://unknown.org/http_//rs.gbif.org/terms/1.0/Multimedia","identificationID","recordNumber","occurrenceStatus","identificationRemarks","infraspecificEpithet","locality","individualCount","elevation","stateProvince","http://unknown.org/combinationAuthors","http://unknown.org/verbatimScientificName","verbatimLabel","canonicalName","http://unknown.org/combinationYear","typeStatus","municipality","elevationAccuracy","depth","depthAccuracy","waterBody","type","ownerInstitutionCode","samplingProtocol","datasetID","nameAccordingTo","identifiedBy","georeferenceSources","created","associatedSequences","higherClassification","establishmentMeans","continent","higherGeography","institutionID","nomenclaturalCode","georeferenceVerificationStatus","language","vernacularName","http://unknown.org/http_//rs.tdwg.org/dwc/terms/ResourceRelationship","accessRights","behavior"
"1","Hydrophis fasciatus","1891289654","19.14074","72.740452","cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","list()","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2018-08-27T09:19:03.862+0000","2018-08-20T08:55:54.109+0000","123","HUMAN_OBSERVATION","2449716","1","44","358","715","9455","9206453","Hydrophis fasciatus (Schneider, 1799)","Animalia","Chordata","Squamata","Elapidae","Hydrophis","Hydrophis","fasciatus","SPECIES","2018-05-27T06:11:34.000+0000","30598","2018","1","20","2018-01-20T14:56:52.000+0000","2018-08-17T00:49:25.000+0000","2018-08-20T08:56:22.422+0000","https://www.inaturalist.org/observations/12851256","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Reptilia","IN","India","Gaurav Patil","12851256","Coordinate uncertainty increased to 30598m at the request of the observer","2018-01-20 2:56:52 pm GMT+05:30","iNaturalist research-grade observations","India","1891289654","Observations","https://www.inaturalist.org/observations/12851256","103044","12851256","Gaurav Patil","https://www.inaturalist.org/observations/12851256","iNaturalist","<U+00A9> Gaurav Patil some rights reserved","09:26:52Z","Caught as a bycatch Head scales: Seven supralabial, second in contact with prefrontal, third & fourth in contact with eyes; four lower labials. One preocular, one or rarely two postocular; two anterior temporal. Scales around neck: 30 Scales around mid body: 44 Ventral scales: 450 Maxillary teeth behind venom fangs: six","[ {
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/18648658/original.jpeg?1527401623"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/18648658"",
  ""http://purl.org/dc/terms/created"" : ""2018-01-20T14:58:05-08:00"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Gaurav Patil"",
  ""http://purl.org/dc/terms/creator"" : ""Gaurav Patil"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""18648658""
} ]","27982713",NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Lygosoma lineata","1880460695","19.244777","72.84932","cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","list()","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2018-08-27T09:17:39.240+0000","2018-07-11T19:49:53.574+0000","123","HUMAN_OBSERVATION","6161185","1","44","358","715","9115","2464889","Lygosoma lineata (Gray, 1839)","Animalia","Chordata","Squamata","Scincidae","Lygosoma","Lygosoma","lineata","SPECIES","2018-04-30T16:37:16.000+0000","NA","2018","1","30","2018-01-30T15:28:00.000+0000","2018-07-04T04:22:00.000+0000","2018-07-11T19:50:32.923+0000","https://www.inaturalist.org/observations/11891862","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Reptilia","IN","India","Kiran Rao","11891862",NA,"2018/01/30 3:28 PM GMT","iNaturalist research-grade observations","Borivali, Mumbai, Maharashtra, India","1880460695","Observations","https://www.inaturalist.org/observations/11891862","38097","11891862","Kiran Rao","https://www.inaturalist.org/observations/11891862","iNaturalist","<U+00A9> Kiran Rao some rights reserved","15:28:00Z",NA,"[ {
  ""http://purl.org/dc/terms/creator"" : ""Kiran Rao"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/17022212"",
  ""http://purl.org/dc/terms/created"" : ""2018-01-30T15:28:06-08:00"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/17022212/original.jpg?1525106165"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""17022212"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Kiran Rao"",
  ""http://purl.org/dc/terms/type"" : ""StillImage""
} ]","26037283",NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Daboia russelii","1802794623","23.174777","87.963366","gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","list()","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2018-08-27T09:38:44.816+0000","2018-05-31T16:27:15.340+0000","123","HUMAN_OBSERVATION","8602156","1","44","358","715","5024","2444304","Daboia russelii (Shaw & Nodder, 1797)","Animalia","Chordata","Squamata","Viperidae","Daboia","Daboia","russelii","SPECIES","2018-01-09T10:48:26.000+0000","NA","2018","1","1","2018-01-01T09:56:00.000+0000","2018-05-14T18:56:49.000+0000","2018-07-07T22:12:00.411+0000","https://www.inaturalist.org/observations/9419822","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Reptilia","IN","India","Subhajit Roy","9419822",NA,"2018/01/01 9:56 AM IST","iNaturalist research-grade observations","Borshul","1802794623","Observations","https://www.inaturalist.org/observations/9419822","30687","9419822","Subhajit Roy","https://www.inaturalist.org/observations/9419822","iNaturalist","<U+00A9> Subhajit Roy some rights reserved","04:26:00Z",NA,"[ {
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/12799725/original.jpeg?1515494735"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc-nd/4.0/"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""12799725"",
  ""http://purl.org/dc/terms/created"" : ""2018-01-01T09:56:28-08:00"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Subhajit Roy"",
  ""http://purl.org/dc/terms/creator"" : ""Subhajit Roy"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/12799725""
} ]","20558649",NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ptyas mucosa","1880676165","12.283034","76.614943","cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","list()","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2018-08-27T09:39:36.257+0000","2018-07-11T20:12:15.320+0000","123","HUMAN_OBSERVATION","5224052","1","44","358","715","6172","2457336","Ptyas mucosa (Linnaeus, 1758)","Animalia","Chordata","Squamata","Colubridae","Ptyas","Ptyas","mucosa","SPECIES","2018-02-12T09:12:14.000+0000","19","2018","2","12","2018-02-12T13:53:52.000+0000","2018-06-17T04:50:15.000+0000","2018-07-11T20:18:00.060+0000","https://www.inaturalist.org/observations/9834293","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Reptilia","IN","India","Revath B C","9834293",NA,"2018-02-12 1:53:52 PM IST","iNaturalist research-grade observations","24/12A, Ramakrishnanagar, Mysuru, Karnataka 570023, India","1880676165","Observations","https://www.inaturalist.org/observations/9834293","28868","9834293","Revath B C","https://www.inaturalist.org/observations/9834293","iNaturalist","<U+00A9> Revath B C some rights reserved","11:53:52Z",NA,"[ {
  ""http://purl.org/dc/terms/creator"" : ""Revath B C"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/13467352"",
  ""http://purl.org/dc/terms/created"" : ""2018-02-12T13:53:52-08:00"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/13467352/original.jpeg?1518426737"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""13467352"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Revath B C"",
  ""http://purl.org/dc/terms/type"" : ""StillImage""
}, {
  ""http://purl.org/dc/terms/creator"" : ""Revath B C"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/13467354"",
  ""http://purl.org/dc/terms/created"" : ""2018-02-12T13:53:31-08:00"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/13467354/original.jpeg?1518426747"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""13467354"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Revath B C"",
  ""http://purl.org/dc/terms/type"" : ""StillImage""
} ]","21680319",NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Macropisthodon plumbicolor","1883512559","18.991629","73.270345","cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","list()","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2018-08-27T09:21:20.337+0000","2018-07-22T20:51:50.150+0000","123","HUMAN_OBSERVATION","2455776","1","44","358","715","5789707","2455759","Macropisthodon plumbicolor (Cantor, 1839)","Animalia","Chordata","Squamata","Natricidae","Macropisthodon","Macropisthodon","plumbicolor","SPECIES","2018-07-13T01:34:12.000+0000","1395","2018","2","3","2018-02-03T22:46:57.000+0000","2018-07-13T05:30:08.000+0000","2018-07-22T20:52:49.337+0000","https://www.inaturalist.org/observations/14305035","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Reptilia","IN","India","mayuresh kulkarni","14305035",NA,"2018-02-03 10:46:57 PM GMT+05:30","iNaturalist research-grade observations","Kasturba Rd, Matheran, Maharashtra 410102, India","1883512559","Observations","https://www.inaturalist.org/observations/14305035","29475","14305035","mayuresh kulkarni","https://www.inaturalist.org/observations/14305035","iNaturalist","<U+00A9> mayuresh kulkarni some rights reserved","17:16:57Z","Macropisthodon plumbicolor, the<U+00A0>green keelback, also called the<U+00A0>lead keelback,is a non-venomous species of<U+00A0>snake, of the family<U+00A0>Colubridae<U+00A0>, found in parts of<U+00A0>Asia. Stout and viper like in structure of body. Eye moderately large and the rostral scale is just visible from above. The suture between the internasals are as long as that between the prefrontals or a little shorter. The frontal scale is as long as its distance from the end of the snout or a little longer, as long as the parietals or a little shorter; the loreal scale is as long as deep or deeper, sometimes touching the eye; two preoculars scales and three or four postoculars; the temporals are 2 + 3 or 4; there are 7 scales on the upper lip (supralabials), the third and fourth touch the eye; 4 or 5 lower labials in contact with the anterior chin-shields, which are shorter than the posterior. The dorsal scales are strongly keeled, in 23 to 27 rows. The ventrals scutes are 144-160 in number and the anals are usually divided; the subcaudals scales are 35-50 in number. Dull green above, uniform or with traces of black markings. Young specimens show an inverted black V-mark on the neck, its apex forwards, reaching to the frontal shield, and a second much smaller one behind, the intervening space being bright yellow or orange; a black stripe from the eye to the angle of the month, and more or less regular transverse spots or cross-bars on the back and tail; belly whitish, yellow or plumbeous, rarely with darkish spots. In disposition the snake is very gentle and in threat may flatten the neck and raise the head like a cobra while other specimens may flatten the entire body on the ground. Feeds mainly on toads. About 2<U+00A0>ft (0.61<U+00A0>m) long when fully grown.<U+00A0>","[ {
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/21247121/original.jpeg?1531445663"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/21247121"",
  ""http://purl.org/dc/terms/created"" : ""2018-02-03T17:16:57Z"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""mayuresh kulkarni"",
  ""http://purl.org/dc/terms/creator"" : ""mayuresh kulkarni"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""21247121""
} ]","31037973",NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Calotes versicolor","1880637143","26.937375","92.85327","cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","list()","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2018-08-27T09:20:55.768+0000","2018-07-11T19:54:12.640+0000","123","HUMAN_OBSERVATION","9125207","1","44","358","715","9199","2466496","Calotes versicolor (Daudin, 1802)","Animalia","Chordata","Squamata","Agamidae","Calotes","Calotes","versicolor","SPECIES","2018-07-04T20:20:17.000+0000","1085","2018","3","27","2018-03-27T11:08:00.000+0000","2018-07-05T06:19:31.000+0000","2018-07-11T20:08:53.910+0000","https://www.inaturalist.org/observations/14052302","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Reptilia","IN","India","kristian","14052302",NA,"2018/03/27 11:08 AM CEST","iNaturalist research-grade observations","Sonitpur, Guwahati, Assam 784001","1880637143","Observations","https://www.inaturalist.org/observations/14052302","31281","14052302","kristian","https://www.inaturalist.org/observations/14052302","iNaturalist","<U+00A9> kristian some rights reserved","09:08:00Z",NA,"[ ]","30504754",NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Gavialis gangeticus","1841291253","28.336209","81.123801","cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","list()","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2018-08-27T09:17:44.958+0000","2018-05-07T16:01:06.145+0000","123","HUMAN_OBSERVATION","2441360","1","44","358","704","3238583","2441359","Gavialis gangeticus (Gmelin, 1789)","Animalia","Chordata","Crocodylia","Gavialidae","Gavialis","Gavialis","gangeticus","SPECIES","2018-05-01T02:44:44.000+0000","29631","2018","3","16","2018-03-16T00:00:00.000+0000","2018-05-01T02:59:56.000+0000","2018-07-07T08:01:15.796+0000","https://www.inaturalist.org/observations/11958925","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Reptilia","IN","India","gaurav vashistha","11958925","Coordinate uncertainty increased to 29631m to protect threatened taxon","2018-03-16","iNaturalist research-grade observations","Uttar Pradesh, IN","1841291253","Observations","https://www.inaturalist.org/observations/11958925","116523","11958925","gaurav vashistha","https://www.inaturalist.org/observations/11958925","iNaturalist","<U+00A9> gaurav vashistha some rights reserved",NA,"Gharial in Katarniaghat wildlife sanctuary are free living. They inhabit the girwa river.","[ {
  ""http://purl.org/dc/terms/creator"" : ""gaurav vashistha"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""17127694"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""gaurav vashistha"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/17127694"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://purl.org/dc/terms/created"" : ""2018-03-16"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/17127694/original.jpg?1525142681"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/type"" : ""StillImage""
} ]","26133705",NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Eutropis multifasciata","1837738480","16.994311","73.303958","cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","list()","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2018-08-27T09:15:27.290+0000","2018-06-20T17:33:06.219+0000","123","HUMAN_OBSERVATION","2460886","1","44","358","715","9115","7665052","Eutropis multifasciata (Kuhl, 1820)","Animalia","Chordata","Squamata","Scincidae","Eutropis","Eutropis","multifasciata","SPECIES","2018-03-31T07:21:47.000+0000","26","2018","3","30","2018-03-30T16:02:11.000+0000","2018-03-31T07:21:47.000+0000","2018-07-07T16:59:15.884+0000","https://www.inaturalist.org/observations/10504976","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Reptilia","IN","India","Suyash Sawant","10504976",NA,"2018-03-30 4:02:11 pm GMT+05:30","iNaturalist research-grade observations","900k, Boarding Rd, Sanmitra Nagar, Ratnagiri, Maharashtra 415612, India","1837738480","Observations","https://www.inaturalist.org/observations/10504976","38008","10504976","Suyash Sawant","https://www.inaturalist.org/observations/10504976","iNaturalist","<U+00A9> Suyash Sawant some rights reserved","10:32:11Z",NA,"[ {
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/14613496/original.jpg?1522406441"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""14613496"",
  ""http://purl.org/dc/terms/created"" : ""2018-03-30T16:02:11-07:00"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Suyash Sawant"",
  ""http://purl.org/dc/terms/creator"" : ""Suyash Sawant"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/14613496""
}, {
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/14613498/original.jpg?1522406460"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""14613498"",
  ""http://purl.org/dc/terms/created"" : ""2018-03-30T16:02:16-07:00"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Suyash Sawant"",
  ""http://purl.org/dc/terms/creator"" : ""Suyash Sawant"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/14613498""
} ]","23382097",NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Lepidochelys olivacea","1880462956","19.10255","72.893432","cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","list()","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2018-08-27T09:18:19.822+0000","2018-07-11T19:50:36.256+0000","123","HUMAN_OBSERVATION","2442153","1","44","358","793","9413","2442152","Lepidochelys olivacea (Eschscholtz, 1829)","Animalia","Chordata","Testudines","Cheloniidae","Lepidochelys","Lepidochelys","olivacea","SPECIES","2018-05-11T05:52:59.000+0000","30598","2018","3","21","2018-03-21T10:30:00.000+0000","2018-07-04T04:16:52.000+0000","2018-07-11T19:51:08.334+0000","https://www.inaturalist.org/observations/12345306","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Reptilia","IN","India","Shaunak Modi","12345306","Coordinate uncertainty increased to 30598m to protect threatened taxon","2018-03-21 10:30:00 AM GMT+05:30","iNaturalist research-grade observations","India","1880462956","Observations","https://www.inaturalist.org/observations/12345306","39670","12345306","Shaunak Modi","https://www.inaturalist.org/observations/12345306","iNaturalist","<U+00A9> Shaunak Modi some rights reserved","05:00:00Z","One of the hatchlings from Versova Beach, Mumbai.","[ {
  ""http://purl.org/dc/terms/creator"" : ""Shaunak Modi"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/17776959"",
  ""http://purl.org/dc/terms/created"" : ""2018-03-21T05:00:00Z"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/17776959/original.jpeg?1526017985"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""17776959"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Shaunak Modi"",
  ""http://purl.org/dc/terms/type"" : ""StillImage""
} ]","26978311",NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Gekko gecko","1880650558","26.937298","92.853527","cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","list()","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2018-08-27T09:21:01.420+0000","2018-07-11T19:54:21.927+0000","123","HUMAN_OBSERVATION","2447367","1","44","358","715","5666","2447294","Gekko gecko (Linnaeus, 1758)","Animalia","Chordata","Squamata","Gekkonidae","Gekko","Gekko","gecko","SPECIES","2018-07-06T15:52:19.000+0000","1257","2018","3","26","2018-03-26T11:10:00.000+0000","2018-07-06T19:12:42.000+0000","2018-07-11T20:10:01.649+0000","https://www.inaturalist.org/observations/14104887","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Reptilia","IN","India","kristian","14104887",NA,"2018/03/26 11:10 AM CEST","iNaturalist research-grade observations","Sonitpur, Guwahati, Assam 784001","1880650558","Observations","https://www.inaturalist.org/observations/14104887","34615","14104887","kristian","https://www.inaturalist.org/observations/14104887","iNaturalist","<U+00A9> kristian some rights reserved","09:10:00Z",NA,"[ ]","30620023",NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Calotes versicolor","1837091323","18.492064","73.798041","cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","list()","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2018-08-27T09:15:25.367+0000","2018-04-02T14:14:46.423+0000","123","HUMAN_OBSERVATION","9125207","1","44","358","715","9199","2466496","Calotes versicolor (Daudin, 1802)","Animalia","Chordata","Squamata","Agamidae","Calotes","Calotes","versicolor","SPECIES","2018-03-29T12:33:56.000+0000","61","2018","3","29","2018-03-29T00:00:00.000+0000","2018-03-29T15:30:28.000+0000","2018-07-07T13:49:46.745+0000","https://www.inaturalist.org/observations/10488291","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Reptilia","IN","India","Ameya Joshi","10488291",NA,"2018/03/29 10:13 AM UTC","iNaturalist research-grade observations","Warje, Pune, Maharashtra, India","1837091323","Observations","https://www.inaturalist.org/observations/10488291","31281","10488291","Ameya Joshi","https://www.inaturalist.org/observations/10488291","iNaturalist","<U+00A9> Ameya Joshi some rights reserved",NA,NA,"[ {
  ""http://purl.org/dc/terms/creator"" : ""Ameya Joshi"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""14584531"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Ameya Joshi"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/14584531"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://purl.org/dc/terms/created"" : ""2018-03-29T10:13:53-07:00"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/14584531/original.jpg?1522326557"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/type"" : ""StillImage""
} ]","23304859",NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
